Borough,Census_Tracts,Mean_Commute,Public_Transit,Median_Income,Poverty,Unemployment,Work_At_Home
Bronx,327,42.63,59.05,33095.0,29.59,13.91,3.27
Manhattan,275,30.8,58.14,81250.0,17.56,7.64,6.85
